schoolName,schoolType,schoolGov,schoolAdresse,schoolPhoneNumber,schoolEmail
Averroès-Ibn Roched,Primaire/Privé,Manouba,"Rue El Quadisiya ,Manouba",71601092/99551373,None
Avicenne,Primaire/Privé,Kairouan,"Rue des Nations Unies ,Kairouan",77273033,None
AVICENNE,Primaire/Privé,Tunis,"7 Avenue Bellevue ,Tunis",98679314,None
Avicenne,Primaire/Privé,Kairouan,"Avenue Al Omam Al Moutahda, route de Tunis ,Kairouan Sud",77273033,None
Avicenne,Primaire/Privé,Gafsa,"Avenue Habib Bourguiba ,Gafsa Sud",76227929,None
Avicenne,Primaire/Privé,Tunis,"10 rue Ahmed Tlili ,Bardo",71516090,None
Avicenne Private Business School - APBS,Supérieur/Privé,Tunis,"90, Av. Mohamed V ,Tunis",31313131, info@apbs.tn 
AYOUB school,Primaire/Privé,Ariana,"Km 6.5 Route de Bizerte Mnihla ,Ariana",23873387/71554662,None
AZ School Boumhal,Primaire/Privé,Ben Arous,"Boumhal, Tunsie ,Ben Arous",27180000/20638000,None
Aziz School,Secondaire/Privé,Mahdia,"Route d'El Jem ,Souassi",99764018, Azizschoolsouassi@gmail.com 
Bait Al Hekma,Secondaire/Privé,Monastir,"Rue Ebnou Sina R6 à côté d faculté de médecine ,Monastir",73425284, baitalhikmaa@gmail.com 
Balkis School,Primaire/Privé,Gabès,"Cité Azouhour, Mtorrech plage ,Gabès",75290010, balkisschool@hotmail.fr 
Baraem Alelem,Primaire/Privé,Tunis,"Rue Chadly Kallela ,Tunis",52678330,None
Baya School,Primaire/Privé,Ben Arous,"Mornag ,Ben Arous",29098968,None
Bayrem Ettounsi,Primaire/Privé,Manouba,"01 Rue Mongi Slim Denden ,Manouba",36233441, ecolebayremettounsi@gmail.com 
Baytalhekma School,Primaire/Privé,Médenine,"Rue De L'environnement ,Ben Guerdene",96695098,None
Be School,Primaire/Privé,Ben Arous,"32 avenue Charles Nicolle 2050, Tunisie ,Hammam Lif",79218710, administration@beschool.tn 
Be Smart School,Primaire/Privé,Ben Arous,"El Mourouj 6 ,Ben Arous",94017160/20694000, contact@besmartschool.tn 
Bel Horizon,Primaire/Privé,Manouba,"Route De Tebourba, Jedeïda ,Manouba",71638818, belhorizonjedaida@hotmail.com 
Bosten Ennour,Primaire/Privé,Jendouba,"Cité les jardins A.F.H ,Jendouba",54600969,None
Boukhari School,Secondaire/Privé,Zaghouan,"Route Jimla ,Zaghouan",72681321, e.boukharischool@gmail.com 
Boukhari School,Primaire/Privé,Zaghouan,"Route Jimla, avenue l'Arayes ,Zaghouan",72684311, e.boukharischool@gmail.com 
Bustan Al Maarifa,Primaire/Privé,Sfax,"11.rue de Séville Elbustan Rte de Mahdia km1,5 ,Sfax",93000095, frikha.mokhtar@yahoo.fr 
Capsa Smart School,Primaire/Privé,Gafsa,"Rue des pommes, doualy ,Gafsa",50051033, capsasmartschool@hotmail.com 
CARTHAGE ACADEMY,Primaire/Privé,Ariana,"41 rue Ibn Sana El Molk ,Ariana",21600111, carthage.academy.lasoukra@gmail.com 
Carthage Classical Academy,Primaire/Privé,Tunis,"Rue des sciences, Ennasr 2 ,Tunis",71755336/29923081, info@carthageclassicalacademy.org 
Carthage School,Primaire/Privé,Ben Arous,"Fouchana, Cité Esallem ,Ben Arous",28258490,None
Carthage School,Primaire/Privé,Nabeul,"Route de la plage ,Menzel Temime",97999007,None
Carthage School Béja,Primaire/Privé,Béja,"Rue Abou Al Kacem Chebbi ,Béja",55090771, carthageschoolbeja@gmail.com 
Carthage School Ksar Hellal,Primaire/Privé,Monastir,"Zone industrielle, Rue Mohamed Ben Cheikh ,Ksar Helal",54085685,None
Centrale COM,Supérieur/Privé,Tunis,"7, rue du Brésil, Belvédère ,El Menzah",71783175, ucaat@planet.tn 
Centrale DG,Supérieur/Privé,Tunis,"56 , Rue de Syrie ,Tunis",71796679, ucginfo@universitecentrale.tn 
CENTRALE Santé,Supérieur/Privé,Tunis,"56, Rue de Syrie ,Tunis",71796679, ucginfo@universitecentrale.tn 
Centre International de Formation d’Aviation Civile « CIFAC »,Supérieur/Public,Monastir,"Avenue Taieb Mhiri, Immeuble Chayata ,Monastir",73448500/54048100, contact@cifac-monastir.com 
Château Brillant,Primaire/Privé,Siliana,"Rue Maghreb Arabi, Cité Hached ,Siliana",97035415, ecolechateaubrillant@gmail.com 
Chevreuil,Primaire/Privé,Tunis,"9 Rue du 1er Juin Mutuelleville 1082 Cité Mahrajène ,Tunis",71796196/71893916,None
CHEVREUIL,Primaire/Privé,Tunis,"9 Rue du 1er Juin Mutuelleville 1082 Cité Mahrajène ,Tunis",71796196/71893916,None
CIS International School of Tunis,Primaire/Privé,Tunis,"Rue Des Usines, Charguia 1 ,Tunis",26066667, info@cistunis.tn 
City School,Primaire/Privé,Monastir,"Avenue Avicenne (En face de la faculté de Médecine Dentaire) ,Monastir",73505802,None
City School Plus / Tayssir School,Primaire/Privé,Nabeul,"Avenue de l'Egypte, Borj Cédria ,Slimane",23159609, abd.fadhel71@hotmail.com 
City School Plus / Tayssir School,Secondaire/Privé,Nabeul,"Avenue de l'Egypte, Borj Cédria ,Slimane",23159609, abd.fadhel71@hotmail.com 
Collège & Lycée Privés AMILCAR 2,Secondaire/Privé,Tunis,"29 Rue Khawarizmi ,La Marsa",71774621, college@etablissement-amilcar.com 
Collège & Lycée Privés El Amad,Secondaire/Privé,Sousse,"Boulevard de la liberté en face du lycée pilote ,Sousse",73820686,None
Collège Du Lac,Secondaire/Privé,Tunis,"1 Rue Du Lac Ontario, Les Berges Du Lac 1 ,Tunis",20165165, contact@collegedulac.com 
Collège et Lycée El Amed Sahloul,Secondaire/Privé,Sousse,"Boulevard de la liberté en face du lycée Pilote ,Sousse",73820686,None
Collège et lycée pilotes privés El Faouz,Secondaire/Privé,Sidi Bouzid,"Cité El Yassamin Takassim ,Sidi Bouzid",98990200,None
Collège et lycée pilotes privés Victor Hugo,Secondaire/Privé,Sidi Bouzid,"Boulevard Mohammed Bouazizi, en face du centre d’athlétisme et du complexe culturel 17 décembre ,Sidi Bouzid",50220214/96799870,None
Collège et Lycée Privé Balloumi La Volonté,Secondaire/Privé,Bizerte,"Rue Abdelaziz Ethaalbi ,Bizerte",53249635, balloumizaineb@gmail.com 
Collège et lycée privé el khawarezmi,Secondaire/Privé,Ben Arous,"Rue de rome, numéro 1, el mourouj 4 ,Mourouj",22621876, anisbeldi@gmail.com 
Collège et Lycée privé L'Ecole De Demain,Secondaire/Privé,Manouba,"En face du collège pilote de Manouba ,Manouba",71609620/99928890/54105572, collegeecolededemain@gmail.com 
Collège et Lycée privé La Fontaine,Secondaire/Privé,Ariana,"Lot Al Rihab, N 5, Cité El Ghazelahazela ,Ariana",70247620, lafontaine_tn@yahoo.com 
Collège et Lycée Privé Les Trois Colombes,Secondaire/Privé,Ben Arous,"Route Z4 , Mégrine ,Ben Arous",71425649/99041360/94419808, comptabilites3colombes@gmail.com 
Collège et Lycée Privé Marie Curie Manouba,Secondaire/Privé,Manouba,"30 Avenue Des Travailleurs ,Manouba",29783399/70604115/27501173,None
Collège et Lycée privé Nouvelle Génération,Secondaire/Privé,Ben Arous,"Mégrine ,Ben Arous",27195653,None
Collège et Lycée privés Chawki School,Secondaire/Privé,Ben Arous,"Avenue Habib Thameur, Mourouj 1 ,Ben Arous",79357369/54028020, chawkishool.mourouj1@gmail.com 
Collège et Lycée Privés LCLP L'érudit,Secondaire/Privé,Nabeul,"Avenue Abou Dhabi kharouba, Hammamet ,Nabeul",72324323/24864300/95525103, collegelerudit.lclp@gmail.com 
Collège Horizon,Secondaire/Privé,Gabès,"Avenue Elkasr El Kadim ,Hamma",75337426, horizon.college2017@gmail.com 
Collège La Sagesse,Secondaire/Privé,Bizerte,"Rue bach hamba ,Bizerte",97216645/27455551, contact@lyceesagesse.net 
Collège Pilote El Farabi,Secondaire/Privé,Monastir,"Près du complexe d'enfance ,Sahline",73528584,None
Collège Pilote Privé El Amed,Secondaire/Privé,Monastir,"Avenue Habib Bourguiba Route De Sousse ,Sahline",29116600, info@college-elamed.com 
Collège Pilote Privé Erridha,Secondaire/Privé,Monastir,"Avenue de l'Environnement ,Monastir",55556206, cp.erridha@gmail.com 
Collège Pilote Privé La Coupole,Secondaire/Privé,Sfax,"Route Lafrane km 4.5 Rue des roses ,Sfax",93613600,None
Collége Privé Abou Elkacem Echabbi,Secondaire/Privé,Sousse,"Avenue de L'environnement ,Sousse",22809877/73240926, collegeprivee@yahoo.com 
Collège Privé Al Maarifa,Secondaire/Privé,Sousse,"2 Rue d'Oran ,Msaken",23155466/73257212, c.e.p.almaarifa@gmail.com 
Collège privé Alexandre le Grand,Secondaire/Privé,Manouba,"11 Avenue Farhat Hached ,Manouba",97926673,None
Collège Privé Averroès - Ibn Rochd,Secondaire/Privé,Manouba,"Rue El Quadisiya ,Manouba",71601092/99551373,None
Collège Privé Avicenne,Secondaire/Privé,Tunis,"10, Rue Abdelhamid Tlili ,Bardo",31516027, avicenne.ecoleprive@gmail.com 
Collège Privé Avicenne,Secondaire/Privé,Tozeur,"Zone Touristique ,Tozeur",20030614,None
Collège Privé Avicenne,Secondaire/Privé,Monastir,"Ksar Hellal ,Ksar Helal",94556677,None
Collège Privé Balkis,Secondaire/Privé,Ben Arous,"17 Rue Des Roses ,Hammam Chat",50670604, college.balkis@gmail.com 
Collège Privé Ben Mahmoud,Secondaire/Privé,Médenine,"Route de Gabes ,Médenine",95138287, college.benmahmoud@gmail.com 
Collège Privé Borj El Ilm,Secondaire/Privé,Monastir,"Avenu Mohamed Salah Sayedi ,Monastir",93262423, borjelilm@gmail.com 
Collège Privé De Tunis Hannan Arendt,Secondaire/Privé,Ariana,"La soukra ,Soukra",25515351/25515905, college.hannah.arendt@gmail.com 
Collège Privé Don Bosco,Secondaire/Privé,Tunis,"05 Rue d'Algérie ,Tunis",71325448, esldonboscotunis@gmail.com 
Collège Privé Echoala,Secondaire/Privé,Tunis,"6 Rue 62127 Cité Essedik ,Tunis",71925660/54926100, echoala.school@gmail.com 
Collège Privé El Alama,Secondaire/Privé,Sousse,"Rue Sadok Mkaddem Sahloul pas loin de La Poste ,Sousse",73820128, college.alalama@gmail.com 
Collège Privé El Fawz,Secondaire/Privé,Kébili,"Route de Gabes ,Kébili",98232211, elfawzecole@gmail.com 
Collège Privé El Menchia,Secondaire/Privé,Sousse,"Menchia ,Hammam sousse",73366765,None
Collège Privé Ennesrine,Secondaire/Privé,Mahdia,"Rue Farhat Hached ,Eljem",29631735, collegeennesrine@gmail.com 
Collège Privé Farhat Hached,Secondaire/Privé,Médenine,"Rue Habib Thameur ,Jerba Midoun",22479594, direction.farhathached@gmail.com 
Collège Privé Ferchiou School,Secondaire/Privé,Monastir,"Centre Ville - R6 - Avenue Farhat Hached ,Monastir",73461696/29606969, schoolferchiou@gmail.com 
Collège Privé Hannibal,Secondaire/Privé,Tunis,"47 Rue Mohamed Abdelwahab, El Manar 1, El Menzah ,Tunis",71887095, contact@ecolehannibal.com 
Collège Privé Hannibal,Secondaire/Privé,Sidi Bouzid,"Prés de la STEG ,Bir Hfay",93630006, ecole.hannibal.privee@gmail.com 
Collège Privé Ibn Sina,Secondaire/Public,Gafsa,"Rue d'Egypte ,Gafsa",76203070,None
Collège Privé International Montessori,Secondaire/Privé,Tunis,"04 Rue de Gabès, Hammem Lif ,Tunis",29010912, contact@montessori.tn 
Collège Privé Jeljeli Le Défi,Secondaire/Privé,Bizerte,"14 lotissement Sadkaoui ,Bizerte",72534223, contact@collegeledefi.tn 
Collège Privé l'Elite,Secondaire/Privé,Bizerte,"Route Ain Mariem ,Bizerte",20007300,None
Collège Privé l'Horizon,Secondaire/Privé,Tunis,"5 Bis Avenue Mohamed Abdelwaheb ,Tunis",71875269,None
Collège Privé l'Intégrale,Secondaire/Privé,Tunis,"Rue Socrate ,La Goulette",99203516,None
Collège Privé La Joconde du Lac,Secondaire/Privé,Tunis,"Cité Les Pins Lac 2 ,Tunis",26784002, jocondejumelle@jocondegroup.com 
Collège Privé Lamar,Secondaire/Privé,Sousse,"78 , Rue Zakaria Ahmed , Sahloul 1 ,Sousse",73820444/55305661,None
Collège Privé Le Pré-vert,Secondaire/Privé,Ben Arous,"93 Avenue De La République, Mégrine-Coteaux ,Ben Arous",52663737, info.le.prevert@gmail.com 
Collège Privé Les Collines,Secondaire/Privé,Kasserine,"Cité olympique ,Kasserine",77411811, collines2016@gmail.com 
Collège Privé Les Elites 2,Secondaire/Privé,Sousse,"Rue Mohamed El Aroui - Cité Jawhara ,Sousse",36117122, collegedeselites@gmail.com 
Collège privé LoQman al Hakim,Secondaire/Privé,Tunis,"ZI Khaireddine, Kram Les Berges du Lac ,Le Kram",71182605, contact@lh-school.tn 
Collège Privé Mahmoud El Messadi,Secondaire/Privé,Tunis,"13 Rue Salaheddine el Ayoubi ,Bardo",90509199, collegeprivemahmoudelmessaadi@gmail.com 
Collège Privé Marie Curie Sousse,Secondaire/Privé,Sousse,"Rue Jalloul Ben Cherifa ,Sousse",28700303, mcs-sousse@topnet.tn 
Collège Privé Nour Al Mechkat,Secondaire/Privé,Tunis,"Cité Ibn Khaldoun ,Omrane Supérieur",94601618, nour.al.mechkat@gmail.com 
Collège Privé Saladin,Secondaire/Privé,Sousse,"Rue Salem El Herayech ,Sousse",58239723,None
Collège Privé Takeoff,Secondaire/Privé,Tozeur,"Chebbi 1 AFH ,Tozeur",58915419, takeoff.tozeur@gmail.com 
Collège Privé Tarik Al Maarfa,Secondaire/Privé,Ben Arous,"Cité El Habib, Ezzahra ,Ben Arous",52907528,None
Collège Privé The Best School,Secondaire/Privé,Sousse,"Rue Mars El Bhayer ,Hammam sousse",29280737, thebestmiddleschool@gmail.com 
Collège Privé Victor Hugo,Secondaire/Privé,Nabeul,"Rue Tahar Haddad ,Kelibia",72208950, collegevictorhugoo@gmail.com 
Collège Privé Victor Hugo,Secondaire/Privé,Ariana,"1 Avenue Des Narcisses, Les Jardins d'El Menzah 2 ,Ariana",28280281,None
Collège privés Maxula School - Noureddine Saidi,Secondaire/Privé,Ben Arous,"Rue De La Brise ,Radès",97302561, contact@maxulaschool.tn 
Collège TPS,Secondaire/Privé,Tunis,"Zone industrielle de Sidi Daoud La Marsa ,La Marsa",71854654, contact@taybah.tn 
Complexe L'excellence bouhsina,Primaire/Privé,Sousse,"Rue abu hamed ghazali bouhsina ,Sousse",73232606, excellenceilahy@gmail.com 
Creativity School,Primaire/Privé,Bizerte,"Avenue 14 janvier 2011 ,Bizerte",98673167, creativity.school17@gmail.com 
